# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
5905	-	BOY	-	A young male person, usually a child or teenager.	Noun	2.25
710484	-	BRACELET	-	Piece of jewellery worn around the wrist.	Noun	6.74
1132622	-	BRACKISH	-	(Of water) Salty or slightly salty, as a mixture of fresh and sea water.	Adjective	15.39
447700	-	BRAID	-	Touffe de cheveux s\xc3\xa9par\xc3\xa9e des autres cheveux sur la t\xc3\xaate, obtenue en entrela\xc3\xa7ant trois m\xc3\xa8ches de cheveux.	Noun	6.921
6504	-	BRAIN	-	The organ of the central nervous system of an animal located in the skull that controls the actions and thoughts of the animal.	Noun	4.203
418778	-	BRAKE	-	Decelerate using a mechanical device.	Verb	23.18
6343	-	BRANCH	-	A woody part of a tree arising from the trunk and usually dividing.	Noun	8.55
906315	-	BRANDY	-	An alcoholic liquor distilled from wine or fermented fruit juice.	Noun	5.99907
1016033	-	BRAVE	-	Having or characterized by courage.	Adjective	16.52
482476	-	BRAZILIAN	-	A person from Brazil or of Brazilian descent.	Noun	19.99913
5910	-	BREAD	-	A common food made mainly from flour, water and yeast and produced by kneading and baking a dough.	Noun	5.51
333586	480489;480496	BREAK	-	To end up in two or more pieces, which can&#039;t easily be reassembled.	Verb	9.26
5787	-	BREAKFAST	-	The first meal of the day, usually eaten in the morning.	Noun	5.42
5992	-	BREAST	-	The fleshy organ on the chest of a sexually mature human female containing mammary glands.	Noun	4.41
370376	-	BREATH	-	The air inhaled and exhaled through the lungs.	Noun	-
5998	-	BREATHE	-	To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.	Verb	4.51
432	-	BRICK	-	A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.	Noun	7.62
433	-	BRIDGE	-	A structure that spans and provides a passage over a road, railway, river, or some other obstacle.	Noun	10.74
333539	-	BRIGHT	-	Visually dazzling.	Adjective	15.57
334503	-	BRING	-	To transport toward somewhere; to take something or somebody with oneself somewhere.	Verb	10.62
358603	-	BROCCOLI	-	A vegetable; of this variety of the Brassica oleracea the green flowers and their stalk is eaten.	Noun	8.99908
160300	6852;758192	BROKEN	-	Not capable of working.	Adjective	9.261
1510889	-	BROMELIA	-	Any of various tropical or subtropical New World herbaceous plants in the family Bromeliaceae.	Noun	8.99909
1501242	-	BROOM	-	A tool used to sweep and clean the floor, made of a bundle of straws or twigs attached to a long handle.	Noun	9.38
5541	-	BROTHER	-	A male person who has the same parents as another person.	Noun	2.44
6938	-	BROWN	-	Having a red-orange colour, including the colour of chocolate or coffee.	Adjective	15.99901
509506	-	BRUISE	-	A collection of blood in the body tissue outside the blood vessels	Noun	4.852
7562	-	BRUSH	-	An implement with a handle, and a head with multiple more or less flexible bristles, used for arranging hair.	Noun	6.92
7811	-	BUCKET	-	A container (made of rigid material with a handle) that is used to carry liquids or small items.	Noun	9.99903
398978	-	BUFFALO	-	A wild heavy bison of the species Bison bison, having a broad massive horned head.	Noun	3.917
441	-	BUG	-	Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak.&#10;(Source: CED)	Noun	-
7714	339200;699003	BUILD	-	To form by combining materials or parts.	Verb	9.44
432142	-	BULL	-	Male bovine animal.	Noun	3.21
908269	-	BUNCH	-	A group of things fastened or growing together.	Noun	5.712
844863	1232648;1299599	BURN	-	To undergo combustion.	Verb	1.851
6039	-	BURN	-	To be consumed by fire.	Verb	1.852
702018	-	BURY	-	Colocar un cad\xc3\xa1ver bajo tierra.	Verb	4.78
461	-	BUS	-	A large, long-bodied motor vehicle equipped with seating for passengers, usually operating as part of a scheduled service.	Noun	23.15
1510420	-	BUSTARD	-	Any one of several large terrestrial birds of the family Otididae that inhabit dry open country and steppes in the eastern hemisphere.	Noun	3.99909
6488	6484;6485	BUT	-	[Phrase implying that the following clause is contrary to prior belief].	Function word	24.99901
5505	-	BUTTER	-	A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk).	Noun	5.89
7316	-	BUTTERFLY	-	A lepidopteran that is active at day	Noun	3.92
356264	-	BUTTOCKS	-	The fleshy part of the human body that one sits on.	Noun	4.464
342095	342118	BUTTON	-	A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.	Noun	6.62
8061	-	BUY	-	To obtain in exchange for money or goods.	Verb	11.81
344475	-	CABBAGE	-	An edible plant, Brassica oleracea, with many varieties.	Noun	5.99908
467	-	CABLE	-	Strands of insulated electrical conductors laid together, usually around a central core, and wrapped in a heavy insulation.	Noun	9.99904
909821	-	CALENDAR	-	A table showing the months and days of the year.	Noun	23.61
941919	-	CALF	-	Young cattle.	Noun	3.24
156660	-	CALF OF THE LEG	-	The fleshy backside of the lower part of the leg.	Noun	4.352
470997	-	CALL	-	To order or summon by using one&#039;s voice.	Verb	18.41
1378786	-	CALL	-	To give a name or designation of a common noun that, e.g., reflects a quality.	Verb	18.42
1505685	-	CALM	-	Smooth or having only gentle waves.	Adjective	1.322
8069	-	CAMEL	-	A beast of burden, much used in desert areas, of the genus Camelus.	Noun	3.78
480116	-	CAMP	-	Tents, cabins, etc., used as temporary lodgings by a group of travellers, holiday-makers, Scouts, Gypsies, etc.	Noun	7.65
452618	-	CAN	-	A small, round-shaped metal container, used for different purposes like storing food or liquids, or collecting money.	Noun	23.54
6490	6491	CAN	-	To be able to.	Function word	24.99902
5592	-	CANDLE	-	A light source consisting of a wick embedded in a solid, flammable substance such as wax, tallow, or paraffin.	Noun	7.46
371969	-	CANDY	SWEETS	Food item that is rich in sugar.		Noun	23.565
1497826	-	CANINE TOOTH	-	One of the teeth.	Noun	4.99903
911657	-	CANOE	-	A light narrow boat driven by a paddle.	Noun	10.831
389156	-	CANVAS SHEET	-	An extremely heavy-duty fabric popularly used as a painting surface.	Noun	9.99905
5641	-	CAP	-	A usually soft and close-fitting head covering, either having no brim or with a visor.	Noun	6.55
684108	-	CAPE	-	A piece of land extending into water.	Noun	1.343
1510424	-	CAPIBARA	-	The largest living rodent native to South America, living partly on land and partly in water.	Noun	3.9991
1511084	-	CAPITAL LETTER	-	An upper-case letter, used for emphasis, for starting sentences and proper names, etc.	Noun	18.99905
461214	-	CAPTIVE	-	A person held against his will.	Noun	20.47
