UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
122	THE SISTER	sister	2.45	the sister	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:sister_(5544)	e.g. I have two sisters, one younger and one older than me.	sister	hermana		soeur	<irmã>	Schwester	<сестра>
123	THE OLDER SISTER	older sister	2.454	the older sister	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:older_sister_(7129)	e.g. My older sister is married, but my younger sister still lives at home.	older sister	hermana mayor		soeur ainée	<irmã mais velha>	große Schwester	<старшая сестра>
124	THE YOUNGER SISTER	younger sister	2.455	the younger sister	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:妹妹_(7132)	e.g. My older sister is married, but my younger sister still lives at home.	younger sister	hermana menor		soeur cadette	<irmã mais nova>	kleine Schwester	<младшая сестра>
125	THE SIBLING	sibling	2.456	the sibling	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:sibling_(6732)	e.g. I have two siblings, one brother and one sister.	sibling	hermano/hermana		frères et soeurs	<irmão, irmã>	Geschwister	<брат/сестра>
126	THE OLDER SIBLING	older sibling	2.4561	the older sibling	Noun	Kinship	http://www.omegawiki.org/Expression:older_brother	e.g. My older sibling is married, but my younger sibling still lives at home.	older sibling	-	http://www.omegawiki.org/Expression:older_sister	-	-	ältere Geschwister	-
127	THE YOUNGER SIBLING	younger sibling	2.4562	the younger sibling	Noun	Kinship	http://www.omegawiki.org/Expression:younger_brother	e.g. My older sibling is married, but my younger sibling still lives at home.	younger sibling	-	http://www.omegawiki.org/Expression:younger_sister	-	-	jüngere Geschwister	-
128	THE TWINS	twins	2.458	the twins	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:twin_(431713)		twins	gemelos		jumeaux	<gêmeos>	Zwillinge	<близнецы>
129	THE GRANDFATHER	grandfather	2.46	the grandfather	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:grandfather_(5953)	e.g. My grandfather is 80 years old.	grandfather	abuelo		grand-père	<avô>	Großvater	<дедушка>
130	THE OLD MAN	old man	2.461	the old man	Noun	Kinship	http://www.omegawiki.org/Expression:old_man	e.g. That old man looks like my grandfather.	old man	hombre viejo		vieillard	<velho>	Greis	<старик>
131	THE GRANDMOTHER	grandmother	2.47	the grandmother	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:grandmother_(6247)	e.g. My grandmother is 70 years old.	grandmother	abuela		grand-mère	<avó>	Großmutter	<бабушка>
132	THE OLD WOMAN	old woman	2.471	the old woman	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:баба_(385678)	e.g. That old woman looks like my grandmother.	old woman	mujer vieja		vieille femme	<velha>	Greisin	<старуха>
133	THE GRANDPARENTS	grandparents	2.4711	the grandparents	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:grandparents_(1510376)	e.g. Only one of my grandparents is still alive.	grandparents	abuelos		grands-parents	avós	Großeltern	-
134	THE GRANDSON	grandson	2.48	the grandson	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:grandson_(6627)	e.g. My grandson is 5 years older than my granddaughter.	grandson	nieto		petit-fils	<neto>	Enkel	<внук>
135	THE GRANDDAUGHTER	granddaughter	2.49	the granddaughter	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:granddaughter_(6628)	e.g. My grandson is 5 years older than my granddaughter.	granddaughter	nieta		petite-fille	<neta>	Enkelin	<внучка>
136	THE GRANDCHILD	grandchild	2.5	the grandchild	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:grandchild_(6624)	By the time she died, she had 23 grandchildren.	grandchild	nieto/nieta		-	-	Enkelkind	-
137	THE UNCLE	uncle	2.51	the uncle	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:uncle_(5806)	e.g. I have two uncles, one on my father's side and one on my mother's side.	uncle	tío		oncle	<tio>	Onkel	<дядя>
138	THE MOTHER'S BROTHER	mother's brother	2.511	the mother's brother	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:eno_(936024)		mother's brother	hermano de la madre		frère de la mère, oncle	<irmão (da mãe)>	Onkel	<дядя, брат матери>
139	THE FATHER'S BROTHER	father's brother	2.512	the father's brother	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:setä_(936030)		father's brother	hermano del padre		frère du père, oncle	<irmão (do pai)>	Onkel	<дядя, брат отца>
140	THE AUNT	aunt	2.52	the aunt	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:aunt_(5591)		aunt	tía		tante	<tia>	Tante	<тетя>
141	THE MOTHER'S SISTER	mother's sister	2.521	the mother's sister	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:teyze_(1372595)		mother's sister	hermana de la madre		soeur de la mère, tante	<irmã (da mãe)>	Tante	<тетя, сестра матери>
142	THE FATHER'S SISTER	father's sister	2.522	the father's sister	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:hala_(1372531)		father's sister	hermana del padre		soeur du père, tante	<irmã (do pai)>	Tante	<тетя, сестра отца>
143	THE NEPHEW	nephew	2.53	the nephew	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:sobrino_(454945)	sibling’s son	nephew	sobrino		neveu	<sobrinho>	Neffe	<племянник>
144	THE NIECE	niece	2.54	the niece	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:niece_(6735)	sibling’s daughter	niece	sobrina		nièce	<sobrinha>	Nichte	<племянница>
145	THE SIBLING'S CHILD	sibling's child	2.541	the sibling's child	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:yeğen_(1373556)		nephew, niece	-		-	-	Neffe, Nichte	-
146	THE COUSIN	cousin	2.55	the cousin	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:cousin_(6736)		cousin	primo/prima		cousin, cousine	<primo/prima>	Cousin, Cousine	<двоюродный(ая) брат (сестра), кузен/кузина>
147	THE ANCESTORS	ancestors	2.56	the ancestors	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:ancestor_(6861)		ancestors	antepasados		ancêtres, aïeux	<antepassados, ancestrais>	Vorfahren	<предки>
148	THE DESCENDANTS	descendants	2.57	the descendants	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:descendant_(155705)		descendants	descendientes		descendants	<descendentes>	Nachkommen	<потомки>
149	THE FATHER-IN-LAW (OF A MAN)	father-in-law	2.61	the father-in-law (of a man)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:suegro_(454081)		father-in-law (of a man)	suegro (de hombre)		beau-père	<sogro (de homem)>	Schwiegervater	<свекор>
150	THE FATHER-IN-LAW (OF A WOMAN)	father-in-law	2.611	the father-in-law (of a woman)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:suegro_(454081)		father-in-law (of a woman)	suegro (de mujer)		beau-père	<sogro (de mulher)>	Schwiegervater	<тесть>
151	THE MOTHER-IN-LAW (OF A MAN)	mother-in-law	2.62	the mother-in-law (of a man)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:mother_in_law_(452350)		mother-in-law (of a man)	suegra (de hombre)		belle-mère	<sogra (de homem)>	Schwiegermutter	<свекровь>
152	THE MOTHER-IN-LAW (OF A WOMAN)	mother-in-law	2.621	the mother-in-law (of a woman)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:mother_in_law_(452350)		mother-in-law (of a woman)	suegra (de mujer)		belle-mère	<sogra (de mulher)>	Schwiegermutter	<теща>
153	THE PARENTS-IN-LAW	parents-in-law	2.622	the parents-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:parents-in-law_(1510380)		parents-in-law	-		beaux-parents, belle-famille	-	Schwiegereltern	-
154	THE SON-IN-LAW (OF A MAN)	son-in-law	2.63	the son-in-law (of a man)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:yerno_(454149)		son-in-law (of a man)	yerno (de hombre)		gendre, beau-fils	<genro>	Schwiegersohn	<зять (как называют мужчины)>
155	THE SON-IN-LAW (OF A WOMAN)	son-in-law	2.631	the son-in-law (of a woman)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:yerno_(454149)		son-in-law (of a woman)	yerno (de mujer)		gendre, beau-fils	<genro>	Schwiegersohn	<зять (как называют женщины)>
156	THE DAUGHTER-IN-LAW (OF A MAN)	daughter-in-law	2.64	the daughter-in-law (of a man)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:nuera_(454163)		daughter-in-law (of a man)	nuera (de hombre)		bru, belle-fille	<nora (de homem)>	Schwiegertochter	<сноха>
157	THE DAUGTHER-IN-LAW (OF A WOMAN)	daugther-in-law	2.641	the daughter-in-law (of a woman)	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:nuera_(454163)		daughter-in-law (of a woman)	nuera (de mujer)		bru, belle-fille	<nora (de mulher)>	Schwiegertochter	<невестка>
158	THE CHILD-IN-LAW	child-in-law	2.6411	the child-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:bel-enfant_(454216)		child-in-law	-		-	-	Schwiegertocher, Schwiegersohn	-
159	THE SIBLING-IN-LAW	sibling-in-law	2.6412	the sibling-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:brother-in-law_(765010)		sibling-in-law	-	http://www.omegawiki.org/DefinedMeaning:sister-in-law_(617681)	-	-	Schwager, Schwägerin	-
160	THE STEPFATHER	stepfather	2.71	the stepfather	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:stepfather_(1480565)		stepfather	padrastro		beau-père	<padrasto>	Stiefvater	<отчим>
161	THE STEPMOTHER	stepmother	2.72	the stepmother	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:Stiefmutter_(1480454)		stepmother	madrastra		belle-mère	<madrasta>	Stiefmutter	<мачеха>
162	THE STEPSON	stepson	2.73	the stepson	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:beau-fils_(454195)		stepson	hijastro		beau-fils	<enteado>	Stiefsohn	<пасынок>
163	THE STEPDAUGHTER	stepdaughter	2.74	the stepdaughter	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:hijastra_(454184)		stepdaughter	hijastra		belle-fille	<enteada>	Stieftocher	<падчерица>
164	THE ORPHAN	orphan	2.75	the orphan	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:orphan_(509527)		orphan	huérfano/huérfana		orphelin, orpheline	<órfão/órfã>	Waise	<сирота>
165	THE WIDOW	widow	2.76	the widow	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:widow_(711582)		widow	viuda		veuve	<viúva>	Witwe	<вдова>
166	THE WIDOWER	widower	2.77	the widower	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:widower_(933133)		widower	viudo		veuf	<viúvo>	Witwer	<вдовец>
167	THE RELATIVES	relatives	2.81	the relatives	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:släkting_(6740)		relatives	parientes, parentela		parents	<parentes>	Verwandten	<родственники>
168	THE FAMILY	family	2.82	the family	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:family_(1405)	group of closely related relatives, consisting minimally of parents and children	family	familia		famille	<família>	Familie	<семья>
169	I	I	2.91	I	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:assaje_(5450)		I	yo		je	<eu>	ich	<я>
170	THOU	thou	2.92	you (singular)	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:you_(5459)		you (singular)	tú, usted		tu	<tu, você>	du	<ты, вы>
171	HE/SHE/IT (3RD PERSON MARKER)	he/she/it	2.93	he/she/it	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:he/she/it_(1505714)	(third person singular pronoun, regardless of gender/sex)	he/she/it	él/ella/ello		il, elle, il	<ele/ela/ele (ou ela)>	er, sie, es	<он/она/оно>
172	HE	he	2.931	he	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:I_(5454)		he	él		il	-	er	-
173	SHE	she	2.932	she	Function word	Kinship	http://www.omegawiki.org/Expression:she		she	ella		elle	-	sie	-
174	IT	it	2.933	it	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:it_(1370660)		it	ello		il	-	es	-
175	WE	we	2.94	we	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:he_(5455)		we	nosotros/nosotras		nous	<nós>	wir	<мы>
176	WE (INCLUSIVE)	we	2.941	we (inclusive)	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:kita_(496905)		we (inclusive)	nosotros/nosotras (inclusivo)		nous	<nós>	wir	<мы (инкл.)>
177	WE (EXCLUSIVE)	we	2.942	we (exclusive)	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:kami_(496889)		we (exclusive)	nosotros/nosotras (exclusivo)		nous	<nós>	wir	<мы (эксл.)>
178	YOU	you	2.95	you (plural)	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:we_(5456)		you (plural)	ustedes		vous	<vocês, vós>	du, Ihnen	<вы>
179	THEY	they	2.96	they	Function word	Kinship	http://www.omegawiki.org/DefinedMeaning:they_(352331)		they	ellos, ellas		ils, elles	<eles, elas>	sie	<они>
181	THE CO-FATHER-IN-LAW	co-father-in-law	2.99903	the co-father-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:co-father-in-law_(1394434)	the father-in-law of ego’s child	co-father-in-law	-		-	-	Co-Schwiegervater	-
182	THE CO-MOTHER-IN-LAW	co-mother-in-law	2.99904	the co-mother-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:co-mother-in-law_(1394400)	the mother-in-law of ego’s child	co-mother-in-law	-		-	-	Co-Schwiegermutter	-
183	THE FATHER-IN-LAW	father-in-law	2.99905	the father-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:suegro_(454081)		father-in-law	suegro		beau-père	-	Schwiegervater	-
184	THE GERMAN	German	2.99906	the German	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:German_(5696)		German	alemán/alemana		Allemand, Allemande	-	Deutscher	-
185	THE HUNGARIAN	Hungarian	2.99907	the Hungarian	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:Hungarian_(383336)		Hungarian	húngaro/húngara		Hongrois, Hongroise	-	Ungare	-
186	THE LOVER	lover	2.99908	the lover	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:lover_(874445)		lover	amante		amant, maîtresse	-	Liebhaber	-
187	THE MOTHER-IN-LAW	mother-in-law	2.99909	the mother-in-law	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:mother_in_law_(452350)		mother-in-law	suegra		belle-mère	-	Schwiegermutter	-
189	THE PARENT'S ELDER BROTHER	parent's elder brother	2.99911	the parent's elder brother	Noun	Kinship	<don't link>		parent's elder brother	-		-	-	Onkel	-
190	THE PARENT'S ELDER SISTER	parent's elder sister	2.99912	the parent's elder sister	Noun	Kinship	<don't link>		parent's elder sister	-		-	-	Tante	-
191	THE PARENT'S YOUNGER BROTHER	parent's younger brother	2.99913	the parent's younger brother	Noun	Kinship	don't link>		parent's younger brother	-		-	-	Onkel	-
192	THE PARENT'S YOUNGER SISTER	parent's younger sister	2.99914	the parent's younger sister	Noun	Kinship	don't link>		parent's younger sister	-		-	-	Tante	-
193	THE SLOVAK	Slovak	2.99915	the Slovak	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:slovák_(355484)		Slovak	eslovaco/eslovaca		Slovaque	-	Slovake	-
194	THE SPOUSE	spouse	2.99916	the spouse	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:Jeshponß_(157536)		spouse	cónyuge		mari, femme, époux	-	Ehegespons 	-
195	THE STEPCHILD	stepchild	2.99917	the stepchild	Noun	Kinship	http://www.omegawiki.org/DefinedMeaning:hijastro_(454205)		stepchild	hijastro/hijastra		-	-	Stiefkind	-
197	THE ANIMAL	animal	3.11	the animal	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:animal_(194)	living creature that can move (including or excluding humans)	animal	animal		animal	<animal, bicho>	Tier	<животное>
198	MALE (OF ANIMALS)	male	3.12	male(2)	Adjective	Animals	http://www.omegawiki.org/DefinedMeaning:male_(6395)	(of animals) cf. 2.23	male(2)	masculino, macho		mâle	<masculino>	männlich	<мужской>
199	FEMALE (OF ANIMALS)	female	3.13	female(2)	Adjective	Animals	http://www.omegawiki.org/DefinedMeaning:female_(6392)	(of animals) cf. 2.24	female(2)	femenino, hembra		feminin	<feminino>	weiblich	<женский>
200	THE LIVESTOCK	livestock	3.15	the livestock	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:livestock_(2183)	domestic mammals kept for service or for useful products (cows, horses, donkeys, sheep, goats, pigs, reindeer, camels, etc.)	livestock	ganado		bétail	<gado>	Vieh	<(домашний) скот>
201	THE PASTURE	pasture	3.16	the pasture	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:pasture_(2725)	land or field that is covered with grass and is used for livestock to feed on	pasture	pasto, prado		pâturage, pâture	<pasto, pastagem>	Weide	<пастбище, выгон>
202	THE HERDSMAN	herdsman	3.18	the herdsman	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:herdsman_(1505722)	a man who looks after a herd of animals	herdsman	pastor, vaquero		pâtre, gardien	<pastor>	Hirte	<пастух>
203	THE STABLE	stable	3.19	the stable or stall	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:stable_(3602)	building where domestic animals (any kind, not just horses) are kept	stable or stall	estable, cuadra		étable, écurie	<cocheira, estábulo>	Stall	<конюшня, стойло>
205	THE CATTLE	cattle	3.2	the cattle	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:cattle_(511)	(collection of) domestic bovine animals	cattle	ganado		bétail	<gado>	Rindvieh	<крупный рогатый скот>
206	THE BULL	bull	3.21	the bull	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:bull_(432142)	male bovine (not castrated)	bull	toro		taureau	<touro>	Bulle	<бык>
207	THE OX	ox	3.22	the ox	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:ox_(518788)	a castrated bull, often used for working on farms	ox	buey		boeuf	<boi>	Ochse	<вол>
208	THE COW	cow	3.23	the cow	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:cow_(432006)	female bovine	cow	vaca		vache	<vaca>	Kuh	<корова>
209	THE CALF	calf	3.24	the calf	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:veau_(941919)	young of a cow	calf	ternero/ternera		veau	<bezerro>	Kalb	<теленок>
210	THE SHEEP	sheep	3.25	the sheep	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:sheep_(5819)	e.g. The farmers raised sheep for wool and milk.	sheep	oveja		mouton	<ovelha>	Schaf	<овца, баран>
